"date_report","reported","revised"
"18-12-2020",NA,6697
"19-12-2020","6366",6359
"20-12-2020",NA,5858
"21-12-2020","7854",7804
"22-12-2020",NA,6253
"23-12-2020","6955",6943
"24-12-2020",NA,5683
"25-12-2020","391",549
"26-12-2020",NA,1894
"27-12-2020","10303",9655
"28-12-2020",NA,10583
"29-12-2020","8890",8828
"30-12-2020",NA,7608
"31-12-2020","8316",7122
"01-01-2021",NA,868
"02-01-2021","5243",4550
"03-01-2021",NA,12223
"04-01-2021","14373",13996
"05-01-2021",NA,7351
"06-01-2021","7929",7942
"07-01-2021",NA,8169
"08-01-2021","9202",9285
"09-01-2021",NA,8413
"10-01-2021","7200",7015
"11-01-2021",NA,8773
"12-01-2021","6086",6051
"13-01-2021",NA,7174
"14-01-2021","7482",7501
"15-01-2021",NA,6876
"16-01-2021","6268",6343
"17-01-2021",NA,5946
"18-01-2021","6656",6553
"19-01-2021","5217",5156
"20-01-2021","5554",5518
"21-01-2021","6247",6210
"22-01-2021","5777",5761
"23-01-2021","4950",4988
"24-01-2021","4371",4454
"25-01-2021","5928",5855
"26-01-2021","4106",4080
"27-01-2021","4305",4269
"28-01-2021","4820",4837
"29-01-2021","4841",4825
"30-01-2021","3888",3946
"31-01-2021","3840",3897
"01-02-2021","4660",4577
"02-02-2021","2945",2960
"03-02-2021","3282",3211
"04-02-2021","4104",4081
"05-02-2021","4002",4023
"06-02-2021","3257",3288
"07-02-2021","3057",3100
"08-02-2021","3931",3875
"09-02-2021","2648",2637
"10-02-2021","3251",3226
"11-02-2021","3192",3191
"12-02-2021","3446",3450
"13-02-2021","3033",3020
"14-02-2021","2020",2044
"15-02-2021","2106",2027
"16-02-2021","4251",4086
"17-02-2021","2734",2721
"18-02-2021","3402",3384
"19-02-2021","3142",3111
"20-02-2021","2579",2619
"21-02-2021","2306",2320
"22-02-2021","4021",3980
"23-02-2021","2818",2803
"24-02-2021","2943",2892
"25-02-2021","3138",3157
"26-02-2021","3220",3222
"27-02-2021","2555",2559
"28-02-2021","2214",2231
"01-03-2021","3808",3778
"02-03-2021","2708",2693
"03-03-2021","2776",2756
"04-03-2021","3039",3014
"05-03-2021","3242",3242
"06-03-2021","2400",2434
"07-03-2021","2506",2230
"08-03-2021","4491",4444
"09-03-2021","2942",2922
"10-03-2021","3088",3084
"11-03-2021","3278",3284
"12-03-2021","3596",3565
"13-03-2021","2999",3023
"14-03-2021","2626",2668
"15-03-2021","4037",3963
"16-03-2021","3042",3012
"17-03-2021","3453",3433
"18-03-2021","3696",3699
"19-03-2021","4367",4347
"20-03-2021","3377",3437
"21-03-2021","3026",3101
"22-03-2021","5162",5036
"23-03-2021","3692",3711
"24-03-2021","4055",3985
"25-03-2021","5233",5266
"26-03-2021","5228",5183
"27-03-2021","4023",4502
"28-03-2021","4047",4099
"29-03-2021","6617",6502
"30-03-2021","4977",5003
"31-03-2021","5803",5719
"01-04-2021","5822",5846
"02-04-2021","5186",4228
"03-04-2021","8278",7235
"04-04-2021","4966",4086
"05-04-2021","10548",10380
"06-04-2021","7408",7437
"07-04-2021","7484",7401
"08-04-2021","8251",8215
"09-04-2021","9156",9188
"10-04-2021","7206",7280
"11-04-2021","7461",7509
"12-04-2021","11202",11116
"13-04-2021","7405",7343
"14-04-2021","9183",9181
"15-04-2021","9619",9591
"16-04-2021","9315",9329
"17-04-2021","7215",7342
"18-04-2021","7641",7682
"19-04-2021","10653",10545
"20-04-2021","7297",7279
"21-04-2021","8183",6443
"22-04-2021","10769",10803
"23-04-2021","8603",8609
"24-04-2021","7095",7127
"25-04-2021","6605",6695
"26-04-2021","9291",9222
"27-04-2021","7086",7035
"28-04-2021","8110",8084
"29-04-2021","9533",9176
"30-04-2021","8160",8117
"01-05-2021","6615",7575
"02-05-2021","7023",7068
"03-05-2021","8639",8733
"04-05-2021","6700",6699
"05-05-2021","7832",7815
"06-05-2021","7791",7830
"07-05-2021","7690",7677
"08-05-2021","6633",6664
"09-05-2021","6383",6447
"10-05-2021","7511",7445
"11-05-2021","5379",5355
"12-05-2021","6583",6539
"13-05-2021","6361",6388
"14-05-2021","6175",6150
"15-05-2021","5059",5091
"16-05-2021","4715",4748
"17-05-2021","5329",5286
"18-05-2021","3837",3834
"19-05-2021","5048",4999
"20-05-2021","4709",4732
"21-05-2021","4522",4505
"22-05-2021","3545",3561
"23-05-2021","3269",3295
"24-05-2021","1915",2951
"25-05-2021",NA,3302
"26-05-2021","2578",2575
"27-05-2021",NA,2933
"28-05-2021","3111",3096
"29-05-2021","2371",2392
"30-05-2021","2090",2112
"31-05-2021","2699",2687
"01-06-2021","1614",1601
"02-06-2021","2270",2260
"03-06-2021","2184",2186
"04-06-2021","2070",2051
"05-06-2021","1389",1401
"06-06-2021","1348",1360
"07-06-2021","1643",1639
"08-06-2021","1083",1213
"09-06-2021","1612",1609
"10-06-2021","1376",1340
"11-06-2021",NA,1407
"12-06-2021","1188",1196
"13-06-2021","985",997
"14-06-2021","1246",1233
"15-06-2021","855",854
"16-06-2021","1111",1095
