date,reported,revised,mobility
2021-01-23,4950.0,4988,-18.637700145560405
2021-01-24,4371.0,4454,-21.64976744186047
2021-01-25,5928.0,5855,-18.624880095923263
2021-01-26,4106.0,4080,-19.10695443645084
2021-01-27,4305.0,4269,-17.171163069544367
2021-01-28,4820.0,4837,-17.35017985611511
2021-01-29,4841.0,4825,-18.360671462829732
2021-01-30,3888.0,3946,-16.970087336244543
2021-01-31,3840.0,3897,-16.702751572327045
2021-02-01,4660.0,4577,-16.006354916067146
2021-02-02,2945.0,2960,-21.384892086330936
2021-02-03,3282.0,3211,-19.94502398081535
2021-02-04,4104.0,4081,-15.901498800959232
2021-02-05,4002.0,4023,-18.942599277978346
2021-02-06,3257.0,3288,-18.22923976608187
2021-02-07,3057.0,3100,-17.66001564945227
2021-02-08,3931.0,3875,-21.18688327316486
2021-02-09,2648.0,2637,-16.42302158273381
2021-02-10,3251.0,3226,-15.484232613908873
2021-02-11,3192.0,3191,-15.571282973621102
2021-02-12,3446.0,3450,-16.004287439613528
2021-02-13,3033.0,3020,-13.764601769911506
2021-02-14,2020.0,2044,-10.241121495327103
2021-02-15,2106.0,2027,-31.07057761732852
2021-02-16,4251.0,4086,-20.90491606714628
2021-02-17,2734.0,2721,-13.559652278177458
2021-02-18,3402.0,3384,-13.645203836930454
2021-02-19,3142.0,3111,-13.31829121540313
2021-02-20,2579.0,2619,-9.49185351270553
2021-02-21,2306.0,2320,-7.958968253968253
2021-02-22,4021.0,3980,-14.528717026378898
2021-02-23,2818.0,2803,-13.886570743405274
2021-02-24,2943.0,2892,-12.410071942446043
2021-02-25,3138.0,3157,-12.427458033573144
2021-02-26,3220.0,3222,-11.547292418772562
2021-02-27,2555.0,2559,-10.749629629629627
2021-02-28,2214.0,2231,-8.267456556082148
2021-03-01,3808.0,3778,-16.282194244604316
2021-03-02,2708.0,2693,-18.00863309352518
2021-03-03,2776.0,2756,-13.864388489208634
2021-03-04,3039.0,3014,-13.715227817745802
2021-03-05,3242.0,3242,-14.465700483091783
2021-03-06,2400.0,2434,-9.149404761904762
2021-03-07,2506.0,2230,-6.093996840442339
2021-03-08,4491.0,4444,-11.58705035971223
2021-03-09,2942.0,2922,-10.68015587529976
2021-03-10,3088.0,3084,-9.595983213429257
2021-03-11,3278.0,3284,-9.675359712230216
2021-03-12,3596.0,3565,-9.696750902527077
2021-03-13,2999.0,3023,-4.385276532137518
2021-03-14,2626.0,2668,-8.08262578616352
2021-03-15,4037.0,3963,-12.096342925659474
